primaryTitle,tconst,directors,writers
Fires on the Plain,tt0053121,nm0406728,"nm0648958,nm0905271"
North by Northwest,tt0053125,nm0000033,nm0499626
The 400 Blows,tt0053198,nm0000076,"nm0000076,nm0610115"
Rio Bravo,tt0053221,nm0001328,"nm0299154,nm0102824,nm0564800"
Some Like It Hot,tt0053291,nm0000697,"nm0000697,nm0224634,nm0858329,nm0517615"
The Destiny of a Man,tt0053317,nm0094083,"nm0525689,nm0787665,nm0794804"
Telegrame,tt0053339,"nm0586233,nm0619321","nm0135905,nm0824951"
At Five in the Afternoon,tt0053563,nm0054219,"nm0054219,nm0766042"
Late Autumn,tt0053579,nm0654868,"nm1516268,nm0633792,nm0654868"
The Apartment,tt0053604,nm0000697,"nm0000697,nm0224634"
Badaranii,tt0053624,"nm0018897,nm0619321","nm0018897,nm0325958,nm0824951"
La dolce vita,tt0053779,nm0000019,"nm0000019,nm0280919,nm0684083,nm0740021,nm0001596"
Inherit the Wind,tt0053946,nm0006452,"nm0949917,nm0808414,nm0492823,nm0498126"
The Virgin Spring,tt0053976,nm0000005,nm0410694
Macario,tt0054042,nm0310449,"nm0871252,nm0136061,nm0310449"
Mughal-E-Azam,tt0054098,nm0039339,"nm0039339,nm0023863,nm0025399,nm0729815,nm0592599"
La Notte,tt0054130,nm0000774,"nm0000774,nm0280919,nm0346096"
When a Woman Ascends the Stairs,tt0054144,nm0621540,nm0452878
Psycho,tt0054215,nm0000033,"nm0825010,nm0088645"
Rocco and His Brothers,tt0054248,nm0899581,"nm0899581,nm0147599,nm0695390,nm0275269,nm0290050,nm0575804,nm0856489"
La sombra del Caudillo,tt0054321,nm0102749,"nm0350085,nm0102749,nm0194604"
Le Trou,tt0054407,nm0065442,"nm0320510,nm0065442,nm0042159"
Higher Principle,tt0054451,nm0470729,"nm0470729,nm0237319"
The Bad Sleep Well,tt0054460,nm0000041,"nm0644823,nm0386750,nm0000041,nm0452878,nm0368074"
"My Son, the Hero",tt0054969,nm0735879,"nm0307408,nm0735879"
The Hustler,tt0054997,nm0744035,"nm0140987,nm0744035,nm0856677"
Judgment at Nuremberg,tt0055031,nm0006452,"nm0542631,nm0001050"
Kabuliwala,tt0055039,nm0348472,"nm0065991,nm0451099,nm0007173"
Happiness of Us Alone,tt0055217,nm0559695,nm0559695
The Human Condition III: A Soldier's Prayer,tt0055233,nm0462030,"nm0559695,nm0408350,nm0462030,nm0327113"
A Raisin in the Sun,tt0055353,nm0677951,nm0360605
Saptapadi,tt0055411,nm0438649,"nm0051855,nm0154117"
Through a Glass Darkly,tt0055499,nm0000005,nm0000005
Viridiana,tt0055601,nm0000320,"nm0017855,nm0000320,nm0701918"
A Difficult Life,tt0055602,nm0728271,nm0814242
Yojimbo,tt0055630,nm0000041,"nm0000041,nm0452878"
Za dvoma zaytsiamy,tt0055635,nm0412094,"nm0412094,nm0823120"
Divorce Italian Style,tt0055913,nm0314584,"nm0316251,nm0208086,nm0314584,nm0408488"
Girl from La Mancha,tt0055939,nm0260474,"nm0061586,nm0148859,nm0260474,nm0267071"
Glos z tamtego swiata,tt0056030,nm0753873,"nm0277072,nm0753874"
The Naked Island,tt0056049,nm0793881,nm0793881
Harakiri,tt0056058,nm0462030,"nm0847668,nm0368074"
Ivan's Childhood,tt0056111,"nm0001789,nm0007672","nm1530016,nm0660353,nm0001789,nm0464846"
Lawrence of Arabia,tt0056172,nm0000180,"nm0004122,nm0933858"
The Man Who Shot Liberty Valance,tt0056217,nm0000406,"nm0068650,nm0325135,nm0424986"
The Miracle Worker,tt0056241,nm0671957,"nm0317217,nm0445656"
The Given Word,tt0056322,nm0239063,"nm0239063,nm0326852"
Sahib Bibi Aur Ghulam,tt0056436,nm0023551,"nm0023551,nm8859896,nm0593946"
Sanjuro,tt0056443,nm0000041,"nm0452878,nm0644823,nm0000041,nm0945491"
An Autumn Afternoon,tt0056444,nm0654868,"nm0633792,nm0654868"
Il Sorpasso,tt0056512,nm0728271,"nm0728271,nm0778633,nm0531431"
