primaryTitle,startYear,averageRating,directors,genres,numVotes,originalTitle,runtimeMinutes,tconst,writers
Santiago,2007,8.0,nm1098834,Documentary,728,Santiago,80,tt1002543,nm1098834
Pete Seeger: The Power of Song,2007,8.4,nm0113845,"Documentary,Music",467,Pete Seeger: The Power of Song,93,tt1003116,\N
Generation Wrecks,2021,9.2,nm6816931,Comedy,136,Generation Wrecks,112,tt10042868,"nm4676368,nm5376482,nm6816931"
Yücel'in Çiçekleri,2018,8.1,nm10564794,"Biography,Documentary,History",146,Yücel'in Çiçekleri,69,tt10062150,nm10564794
Made in Abyss: Dawn of the Deep Soul,2020,8.0,nm0463628,"Adventure,Animation,Drama",4178,Made in Abyss: Fukaki Tamashî no Reimei,113,tt10068916,"nm2417655,nm0475594"
Sareng Bou,1978,8.2,nm2621093,Romance,288,Sareng Bou,\N,tt1008948,nm2619570
"Where Are You, Adam?",2019,8.7,nm4185394,"Biography,Documentary,Drama",102,"Where Are You, Adam?",80,tt10097086,\N
Slumdog Millionaire,2008,8.0,"nm0000965,nm0849164","Crime,Drama,Romance",848327,Slumdog Millionaire,120,tt1010048,"nm0064479,nm3139511"
Millennium Bugs,2020,8.1,nm3235413,Comedy,156,Millennium Bugs,90,tt10111180,nm3235413
Roger Waters - Us + Them,2019,8.2,"nm6714903,nm0914166","Documentary,Music",1254,Roger Waters: Us + Them,135,tt10121372,\N
The Lehman Trilogy,2019,9.1,"nm0025316,nm0005222",Drama,322,National Theatre Live: The Lehman Trilogy,223,tt10127546,"nm6364480,nm5600390"
Swayamvada,2019,8.4,nm3481271,"Drama,Thriller",1146,Swayamvada,131,tt10133066,\N
Rakshasudu,2019,8.0,nm4155817,"Action,Crime,Thriller",1527,Rakshasudu,122,tt10133300,"nm6442107,nm2010346"
We Shall Not Die Now,2019,8.0,nm7515701,"Documentary,History,War",139,We Shall Not Die Now,100,tt10141990,nm7515701
Home,2009,8.5,nm0037867,Documentary,22606,Home,118,tt1014762,"nm3436107,nm0037867,nm0139203,nm1136970,nm0267251"
Ratne price sa Kosara,2019,9.5,nm6183531,"Documentary,History,War",159,Ratne price sa Kosara,107,tt10156610,\N
National Theater Live: Cyrano de Bergerac,2019,8.8,"nm4767917,nm2300053","Drama,Romance",420,NT Live: Cyrano de Bergerac,160,tt10160742,"nm0744562,nm0187871"
Valstybes paslaptis,2019,8.1,nm3406099,Documentary,281,Valstybes paslaptis,99,tt10185752,"nm10849469,nm3406099"
Soorarai Pottru,2020,8.7,nm1464314,Drama,117378,Soorarai Pottru,153,tt10189514,"nm1464314,nm5289834,nm7373491,nm8641855,nm6314922,nm13222819"
