primaryTitle,startYear,averageRating,directors,genres,numVotes,originalTitle,runtimeMinutes,tconst,writers
Rama Shama Bhama,2005,8.0,nm0033243,Comedy,543,Rama Shama Bhama,180,tt0871012,"nm0033243,nm2401104,nm0536818,nm2402754"
Let's Go! India,2007,8.1,nm0024912,"Drama,Family,Sport",81156,Chak De! India,153,tt0871510,nm1156290
Kayyoppu,2007,8.0,nm1066396,Drama,657,Kayyoppu,95,tt0881930,"nm3389889,nm1066396"
"Comfort the Disturbed, Disturb the Comforted",2006,8.5,nm1552823,Drama,351,"Comfort the Disturbed, Disturb the Comforted",76,tt0886469,nm1552823
A Walk to Beautiful,2007,8.1,nm2195612,Documentary,187,A Walk to Beautiful,85,tt0892112,\N
U2,2007,8.4,"nm3969724,nm0671210","Documentary,Music",2905,U2 3D,85,tt0892375,\N
Before Flying Back to Earth,2005,8.7,nm1644484,Documentary,1167,Pries parskrendant i zeme,52,tt0892425,\N
How to Train Your Dragon,2010,8.1,"nm0213450,nm0761498","Action,Adventure,Animation",743431,How to Train Your Dragon,98,tt0892769,"nm0204030,nm0213450,nm0761498,nm2441763,nm0405190,nm1104057"
Ainda Há Pastores?,2006,8.3,nm1339693,Documentary,235,Ainda Há Pastores?,72,tt0897412,"nm2447078,nm2446375,nm1339693"
Riding Solo to the Top of the World,2006,8.0,nm2454920,Documentary,202,Riding Solo to the Top of the World,94,tt0903013,\N
Low and Behold,2007,8.1,nm1806392,Drama,101,Low and Behold,96,tt0910917,"nm1806392,nm2049889"
WALL·E,2008,8.4,nm0004056,"Adventure,Animation,Family",1118688,WALL·E,98,tt0910970,"nm0004056,nm0230032,nm0714114"
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007,8.3,nm0645574,"Documentary,History",2062,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,86,tt0911010,nm0645574
No End in Sight,2007,8.2,nm2480587,"Documentary,War",8454,No End in Sight,102,tt0912593,nm2480587
17 Mayis,2005,8.7,nm0876834,"Documentary,Sport",378,17 Mayis,120,tt0913349,\N
Serras da desordem,2006,8.0,nm0867104,Documentary,167,Serras da desordem,135,tt0922605,\N
The King of Kong: A Fistful of Quarters,2007,8.0,nm1164861,"Biography,Documentary,Sport",36802,The King of Kong,79,tt0923752,nm1164861
Adhirindhi Alludu,1996,8.8,nm0004466,Drama,158,Adhirindhi Alludu,140,tt0925057,"nm0080180,nm0411599,nm2500722,nm3039398,nm0004466"
In the Shadow of the Moon,2007,8.0,nm2270163,"Documentary,History",6794,In the Shadow of the Moon,100,tt0925248,\N
Where the Yellow Lemon Blooms,2006,8.2,nm0815638,Documentary,325,Gde cveta limun zut,95,tt0933016,"nm0815638,nm0900008"
The Full Picture,2008,8.5,nm1239991,Comedy,102,The Full Picture,80,tt0937221,nm1239991
The Road to Empire,2007,8.3,nm0796229,Thriller,108,The Road to Empire,94,tt0939656,"nm0796229,nm0037363"
Black Swan,2010,8.0,nm0004716,"Drama,Thriller",771468,Black Swan,108,tt0947798,"nm2114730,nm0374560,nm0572352"
The Planet,2006,8.0,"nm0826512,nm0845465,nm1295213",Documentary,283,The Planet,82,tt0950758,"nm0826512,nm1295213"
The Singing Revolution,2006,8.4,"nm2532982,nm2537532","Documentary,History,Music",626,The Singing Revolution,94,tt0954008,"nm0538242,nm2532982,nm2537532"
Dealing and Wheeling in Small Arms,2007,8.9,nm0290468,Documentary,102,Dealing and Wheeling in Small Arms,90,tt0956332,"nm1557881,nm2538033"
Drawn by Pain,2007,8.6,nm0962722,Action,107,Drawn by Pain,90,tt0964510,nm0962722
Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007,8.6,nm0000953,"Documentary,Music",2016,Tom Petty and the Heartbreakers: Runnin' Down a Dream,259,tt0965382,\N
"Sound, Verses, Fury",2007,8.2,nm1151269,Documentary,416,"Sound, Verses, Fury",93,tt0970193,"nm1151269,nm1836969"
Shut Up and Deal,2007,10.0,nm2574672,Comedy,117,Shut Up and Deal,85,tt0972571,nm2574672
Mary and Max,2009,8.1,nm0254178,"Animation,Comedy,Drama",178542,Mary and Max.,92,tt0978762,nm0254178
Darius Goes West,2007,8.2,nm2576753,Documentary,267,Darius Goes West,92,tt0979869,\N
1971,2007,8.2,nm2590023,"Action,Drama,War",2472,1971,136,tt0983990,nm0592795
Gadhvache Lagna,2007,8.1,nm2586013,Comedy,173,Gadhvache Lagna,\N,tt0984036,"nm2586013,nm2587313"
The Bandit K.,2008,8.6,nm0233026,Drama,131,K. Il bandito,100,tt0985631,"nm0131947,nm0233026,nm0410102,nm2587909,nm0690390"
Like Stars on Earth,2007,8.3,"nm0451148,nm1244760","Drama,Family",194883,Taare Zameen Par,165,tt0986264,nm1244760
Mungaru Male,2006,8.4,nm1680229,"Comedy,Music,Romance",3631,Mungaru Male,143,tt0986329,"nm1680229,nm5794652"
Jibon Theke Neya,1970,9.3,nm2513556,"Drama,Family,War",2142,Jibon Theke Neya,150,tt0989831,"nm2513556,nm0403951"
2 Epic,2007,8.0,nm2315079,Sci-Fi,101,2 Epic,170,tt0990422,nm2315079
The Wolf of Wall Street,2013,8.2,nm0000217,"Biography,Comedy,Crime",1414994,The Wolf of Wall Street,180,tt0993846,"nm1010540,nm0067789"
Joyjatra,2004,8.3,nm2609716,Drama,864,Joyjatra,119,tt1000111,"nm0403951,nm2609716"
Turtle,2018,8.2,nm6379345,Drama,114,Turtle,75,tt10010814,"nm13282714,nm13132501,nm6379345"
Watson,2019,8.3,nm2026261,Documentary,123,Watson,99,tt10011252,\N
Linda Ronstadt: The Sound of My Voice,2019,8.0,"nm0258531,nm0295243","Biography,Documentary,Music",2237,Linda Ronstadt: The Sound of My Voice,95,tt10011448,\N
