primaryTitle,tconst,birthYear,deathYear,primaryName,primaryProfession
The Miracle Worker,tt0056241,\N,\N,Dale Ellen Bethea,actress
The Given Word,tt0056322,\N,\N,Enoch Torres,actor
An Autumn Afternoon,tt0056444,\N,\N,Akiharu Hashimoto,miscellaneous
Il Sorpasso,tt0056512,\N,\N,Aldo Gianni,actor
To Kill a Mockingbird,tt0056592,\N,\N,Mark Shaw,miscellaneous
What Ever Happened to Baby Jane?,tt0056687,\N,\N,Debbie Burton,"actress,soundtrack"
The Exterminating Angel,tt0056732,\N,\N,Pietro Domenico Paradisi,"music_department,soundtrack"
8½,tt0056801,\N,\N,Agnese Bonfanti,actress
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,\N,\N,Mike Shaw,special_effects
The Leopard,tt0057091,\N,\N,Alessandro Gasparinetti,costume_department
The Great Escape,tt0057115,1918,1989,Wally Floody,miscellaneous
The Red Lanterns,tt0057229,\N,\N,Alekos Galanos,writer
The Big City,tt0057277,\N,\N,Dhiren Biswas,miscellaneous
To Die in Madrid,tt0057327,\N,\N,Jacqueline Traimond,editorial_department
Winter Light,tt0057358,1948,\N,Christer Öhman,actor
"Of Whales, the Moon, and Men",tt0057423,\N,\N,Abel Harvey,
High and Low,tt0057565,\N,\N,Fukahirô Akike,camera_department
The Executioner,tt0057643,\N,\N,Gonzalo Parra,actor
Memories of My Childhood,tt0057841,\N,\N,Eduard Bulgaru,actor
Charulata,tt0057935,1542,1613,Baiju Bawra,music_department
Fail Safe,tt0058083,1914,2005,Stewart Germain,actor
Hamlet,tt0058126,1939,\N,Aadu Krevald,actor
Destination Death,tt0058190,\N,\N,Alfred Enz,sound_department
Don't Cry Peter,tt0058394,\N,\N,Bogdan Lubej,actor
Nothing But a Man,tt0058414,\N,\N,Alfred Puryear,actor
Forest of the Hanged,tt0058439,\N,\N,Dan Jitianu,art_department
Soy Cuba,tt0058604,\N,\N,Alberto Morgan,actor
