writers	primaryName	primaryProfession
nm0796117	M. Night Shyamalan	producer,director,writer
nm0050332	Alan Ball	producer,writer,miscellaneous
nm0737904	Bogomil Raynov	writer
nm0422548	Suliko Jgenti	writer,actor
nm0030417	Hideaki Anno	director,writer,art_department
nm1041271	Petraq Qafzezi	writer
nm0422548	Suliko Jgenti	writer,actor
nm0422548	Suliko Jgenti	writer,actor
nm0089927	Kiço Blushi	writer
nm0361575	Dusan Hanák	director,writer,actor
nm0663996	Tone Partljic	writer,actor
nm0134461	Ion Cantacuzino	writer,director,producer
nm0097993	Jovan Boskovski	writer,director
nm1041254	Ruzhdi Pulaha	writer
nm0406534	Rustam Ibragimbekov	writer,producer,director
nm0300175	Revaz Gabriadze	writer,director,art_director
nm0300175	Revaz Gabriadze	writer,director,art_director
nm0000759	Paul Thomas Anderson	director,writer,producer
nm1618205	Aurel Baranga	writer
nm0586235	Gordan Mihic	writer,director,miscellaneous
nm0626134	József Nepp	writer,director,animation_department
nm0229769	Dragutin Dobricanin	actor,writer
nm0877078	Yavuz Turgul	writer,director,soundtrack
nm0536818	Balu Mahendra	cinematographer,director,writer
nm0357333	Paul Hamann	producer,director,writer
nm0945899	Vladimir Yanchev	director,writer,assistant_director
nm0006498	Majid Majidi	director,writer,actor
nm0854919	Vijay Tendulkar	writer,actor
nm0673007	Georges Perec	writer,director,producer
nm0675502	Luiz Sérgio Person	director,writer,producer
nm0510107	Gabriel Liiceanu	writer
nm0877078	Yavuz Turgul	writer,director,soundtrack
nm0787793	Saulius Saltenis	writer,director
nm6102622	Yuu Azuki	writer
nm0833577	Stanislav Stratiev	writer
nm0660336	Boyan Papasov	writer,script_department,director
nm0229119	Eros Djarot	composer,writer,director
nm0556034	Marcelo Masagão	director,editor,writer
nm0352961	Fadil Hadzic	writer,director
nm0005363	Guy Ritchie	writer,director,producer
nm0059775	Vaikom Muhammad Basheer	writer
nm0433893	K.S. Ravikumar	actor,director,writer
nm0266324	Oriana Fallaci	writer
nm0313489	K.G. George	director,writer,actor
nm1432116	Madhu Muttam	writer,music_department
nm0523658	Pawel Lozinski	director,writer,producer
nm0777418	Ron Schwartz	writer,art_director,costume_department
nm0605965	Bratya Mormarevi	writer
nm0619760	M.T. Vasudevan Nair	writer,director,actor
nm3406494	Kanagal Prabhakara Sastry	music_department,writer,director
nm0008150	Daoud Abdel Sayed	director,writer,assistant_director
nm0471468	Hunsur Krishnamurthy	writer,music_department,director
nm0471468	Hunsur Krishnamurthy	writer,music_department,director
nm1095768	Nagathihalli Chandrashekar	writer,director,actor
nm0143134	Terri Cascimo	director,writer
nm0517839	A.K. Lohithadas	writer,director,actor
nm0517839	A.K. Lohithadas	writer,director,actor
nm0517839	A.K. Lohithadas	writer,director,actor
nm0619760	M.T. Vasudevan Nair	writer,director,actor
nm0517839	A.K. Lohithadas	writer,director,actor
nm1001498	Rada Moskova	writer
nm0945981	Edward Yang	writer,director,actor
nm0594503	Hayao Miyazaki	animation_department,director,art_department
nm0037247	Guillermo Arriaga	writer,producer,director
nm0363628	M.V.S. Harnatha Rao	writer,actor
nm0363628	M.V.S. Harnatha Rao	writer,actor
nm0446819	Richard Kelly	writer,producer,director
nm0593225	Christopher Mitchell	director,writer
nm0619162	A.P. Nagarajan	director,writer,actor
nm0895538	Pavel Vezhinov	writer
nm0482541	Petar Lalovic	cinematographer,director,writer
nm0655802	P. Padmarajan	writer,director,actor
nm0655802	P. Padmarajan	writer,director,actor
nm0655802	P. Padmarajan	writer,director,actor
nm0080252	J.K. Bharavi	writer,music_department,actor
nm0899649	K. Viswanath	director,writer,actor
nm1031380	Dada Mirasi	director,writer,actor
nm1194308	Purushottam Laxman Deshpande	writer,actor,director
nm0417173	David Jamison	director,writer
nm0801870	Singeetam Srinivasa Rao	director,writer,actor
nm0149832	Aluri Chakrapani	writer,producer,director
nm0417386	Jandhyala	writer,director,actor
nm0119457	Umur Bugay	producer,writer,actor
nm0951304	Ihsan Yüce	actor,writer,director
nm0876561	Erdogan Tünas	writer,actor,script_department
nm0016089	Zeki Alasya	actor,director,writer
nm0784149	Sadik Sendil	writer,music_department,miscellaneous
nm0784149	Sadik Sendil	writer,music_department,miscellaneous
nm0665982	Ganesh Patro	writer,script_department,soundtrack
nm0119457	Umur Bugay	producer,writer,actor
nm0954099	Dejan Zecevic	director,writer,assistant_director
nm0605965	Bratya Mormarevi	writer
nm1964412	Venu Nagavalli	actor,writer,director
nm0698184	Priyadarshan	director,writer,actor
nm0411308	Alexandra Isles	actress,director,producer
nm0706478	Samudrala Raghavacharya	writer,music_department,director
nm0873116	Maharadhi Tripuraneni	writer,music_department,producer
nm0577263	Jonas Mekas	director,cinematographer,editor
nm0151504	N. Chandra	writer,director,producer
nm0618084	Gani Müjde	writer,production_designer,producer
nm0877078	Yavuz Turgul	writer,director,soundtrack
nm0754952	Basar Sabuncu	writer,director,actor
nm0706478	Samudrala Raghavacharya	writer,music_department,director
nm0706478	Samudrala Raghavacharya	writer,music_department,director
nm1220246	Bala	writer,director,producer
nm0837844	Movlud Suleimanly	writer
nm0710589	Pingali Nagendra Rao	writer,music_department
nm0348246	Gunnam Gangaraju	writer,producer,director
nm0784149	Sadik Sendil	writer,music_department,miscellaneous
nm0275789	Andrzej Fidyk	director,miscellaneous,writer
nm0592747	Georgi Mishev	writer,script_department,miscellaneous
nm0468106	Filippos Koutsaftis	cinematographer,camera_department,director
nm0258784	Yilmaz Erdogan	actor,art_director,writer
nm0278641	Cinda Firestone	director,writer,camera_department
nm0517839	A.K. Lohithadas	writer,director,actor
nm0841554	S.N. Swamy	producer,writer,actor
nm0517839	A.K. Lohithadas	writer,director,actor
nm1180694	Panchu Arunachalam	writer,music_department,soundtrack
nm0253676	Merab Eliozishvili	actor,writer
nm0683400	John Pilger	writer,director,producer
nm1052952	Vera Mutafchieva	writer
nm0001885	Lars von Trier	writer,director,producer
nm0708422	P. Ramlee	actor,director,composer
nm0678199	Valeri Petrov	writer,actor,miscellaneous
nm0448094	Jeff Kennedy	director,writer,actor
nm0863094	Nikola Tiholov	writer,script_department
nm0895538	Pavel Vezhinov	writer
nm0422548	Suliko Jgenti	writer,actor
nm0422548	Suliko Jgenti	writer,actor
nm0281133	Jac Flanders	writer,actor,miscellaneous
nm0045572	Svoboda Bachvarova	script_department,writer
nm0383510	William Higgins	director,producer,writer
nm0784149	Sadik Sendil	writer,music_department,miscellaneous
nm0406534	Rustam Ibragimbekov	writer,producer,director
nm1066396	Ranjith	writer,director,producer
nm0820208	Sreenivasan	actor,writer,director
nm0820208	Sreenivasan	actor,writer,director
nm0931747	Sue Williams	director,producer,writer
nm0686696	Skënder Plasari	actor,writer
nm1066620	Nikolai Statkov	writer
nm1075855	Anar Rzayev	writer,director
nm1098726	Milorad Milinkovic	director,writer,actor
nm1091289	Marty Sklar	writer
nm1092221	Rick McKay	producer,cinematographer,director
nm0605965	Bratya Mormarevi	writer
nm1110155	Lilyana Mihaylova	writer
nm0762779	Suraj Sanim	writer,music_department,actor
nm0601619	Michael Moore	director,producer,writer
nm0666674	Anand Patwardhan	director,editor,producer
nm0532509	Sergio Machado	writer,director,assistant_director
nm0135952	Nae Caranfil	writer,director,actor
nm0264367	Sabry Ezzat	writer
nm0061776	Christian Bauer	producer,director,writer
nm0083348	Brad Bird	miscellaneous,writer,director
nm0006498	Majid Majidi	director,writer,actor
nm0605965	Bratya Mormarevi	writer
nm1155100	Münir Hayri Egeli	director,writer,producer
nm0605965	Bratya Mormarevi	writer
nm0467666	Marek Koterski	director,writer,actor
nm0433059	Pavel Jurácek	writer,director,miscellaneous
nm0241262	Dejan Dukovski	writer,script_department
nm0184202	Eduardo Coutinho	director,writer,actor
nm0673754	Lester James Peries	director,writer,producer
nm0238746	Maciej J. Drygas	miscellaneous,writer,director
nm1018613	Nikolai Nikiforov	writer,script_department,miscellaneous
nm0468169	Dusan Kovacevic	writer,miscellaneous,director
nm1286892	Weijun Chen	director,cinematographer,producer
nm0365057	Mark Jonathan Harris	producer,writer,miscellaneous
nm1284523	Gary Sunshine	writer,director,producer
nm0883074	Angel Vagenshtain	writer,script_department
nm0605965	Bratya Mormarevi	writer
nm0605583	Robert Morin	director,writer,actor
nm0657532	Reghunath Paleri	writer,director,music_department
nm1340266	Michiko Yamamoto	writer,producer,miscellaneous
nm0695196	Ranjan Pramod	writer,director,music_department
nm0820208	Sreenivasan	actor,writer,director
nm0820208	Sreenivasan	actor,writer,director
nm1066396	Ranjith	writer,director,producer
nm1334840	Atanas Mandadzhiev	writer
nm0619760	M.T. Vasudevan Nair	writer,director,actor
nm0598671	Shaun Monson	producer,director,writer
nm1347554	Dorian Supin	cinematographer,camera_department,director
nm1351066	Bernhard Ludwig	director,actor,writer
nm1334840	Atanas Mandadzhiev	writer
nm1766774	Mark Bailey	writer,producer,miscellaneous
nm0000233	Quentin Tarantino	writer,actor,producer
nm0558377	Hrant Matevosyan	writer,actor
nm0348015	Gunasekhar	director,writer,actor
nm1395285	Georgina Willis	director,writer,cinematographer
nm1104118	Kim Ki-duk	writer,director,producer
nm0403951	Amjad Hossain	writer,director,actor
nm0014152	Humayun Ahmed	writer,director,music_department
nm0082220	Robert Bilheimer	director,writer,producer
nm1220246	Bala	writer,director,producer
nm0064298	Cari Beauchamp	writer,miscellaneous,producer
nm0820208	Sreenivasan	actor,writer,director
nm1440698	Joe Simpson	miscellaneous,camera_department,writer
nm0014152	Humayun Ahmed	writer,director,music_department
nm1474292	Miroslav Momcilovic	writer,director,producer
nm0948000	Cem Yilmaz	actor,writer,director
nm0601619	Michael Moore	director,producer,writer
nm1680304	Sandeep Sawant	director,writer,producer
nm1952690	Abdul Jabbar Khan	writer,director,producer
nm0003697	Florian Henckel von Donnersmarck	director,writer,producer
nm0594793	Albert Mkrtchyan	director,writer,actor
nm9087396	Armen Tadevosyan	actor,writer
nm0506346	Barry W. Levy	actor,producer,director
nm0763812	Jeff Santo	writer,producer,director
nm0466153	Hirokazu Koreeda	director,writer,editor
nm0458079	Keith Kjornes	writer,editor,producer
nm0233026	Martin Donovan	writer,script_department,miscellaneous
nm0781261	Osman F. Seden	director,writer,producer
nm1050514	Saira Shah	producer,writer
nm0911552	Geoffrey C. Ward	writer,miscellaneous
nm1475059	Filip Jan Rymsza	producer,director,writer
nm0227872	Veli Akbasli	actor,editor,writer
