writers	primaryName	primaryProfession
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm0872538	Nik Triantafyllidis	director,writer,producer
nm7989066	Mangesh Joshi	director,writer,producer
nm6327305	Raju Murugan	writer,director,actor
nm8054735	Nina Messinger	director,writer,producer
nm4109519	Raymond Creamer	writer,producer,actor
nm8058579	Michael Davis	writer,producer
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm1465005	Mher Mkrtchyan	writer,director,producer
nm6083332	Khagendra Lamichhane	actor,writer,miscellaneous
nm6856823	Chris Delforce	director,editor,writer
nm3479619	Xavier de Lauzanne	director,producer,writer
nm8221768	Bob van de Gronde	director,writer,cinematographer
nm3809021	Alper Caglar	producer,writer,editor
nm8226860	Serguei Polkhovski	writer,producer
nm8273413	Arun Prabhu Purushothaman	director,writer
nm5939217	Johnpaul George	director,writer,assistant_director
nm3791887	Szilárd Matusik	editor,director,writer
nm3870094	Phil Borges	director,writer,cinematographer
nm8320947	Scott Douglas Brown	director,actor,writer
nm7665975	Emil Guliev	director,writer,producer
nm1887418	Sam Chouia	writer,producer,director
nm0598531	Mark Monroe	producer,writer,director
nm2103438	Yariv Mozer	producer,director,writer
nm1175459	Thierry Frémaux	producer,director,editor
nm5465931	Saman Weeraman	writer,director,producer
nm5982013	Steve Wollett	producer,actor,director
nm3020655	Rory Feek	writer,soundtrack,producer
nm8440940	Vineet Radhakrishnan	director,writer,producer
nm4217375	Mark Hayes	director,cinematographer,writer
nm10155544	Luciana Coelho	director,writer,editor
nm3942873	Arshad Khan	miscellaneous,writer,producer
nm8470073	Matteo Troncone	writer,director,actor
nm2697482	Mahmoud Abu Zeid	writer,music_department,producer
nm1907581	Rajesh Mapuskar	producer,director,writer
nm8502496	Marc Waltman	director,writer,editor
nm2587508	Nitin Dixit	writer,director,actor
nm1848474	Dave Bidini	actor,writer,music_department
nm0193231	Adam Curtis	director,writer,producer
nm1737295	Dave Wooley	writer,music_department,producer
nm1197880	Risa Williams	actress,writer,producer
nm0007186	Arthur Miller	writer,actor,miscellaneous
nm3859431	Aaron Huggett	writer,director,producer
nm0721707	Emer Reynolds	editor,director,writer
nm0997425	Ermalo Magradze	director,actor,writer
nm8584662	Pradeep Bhattarai	director,writer
nm5736200	Tarun Sudhir	writer,director,actor
nm8616277	Padmakumar Narasimhamurthy	director,miscellaneous,writer
nm2320774	Yigit Güralp	writer,script_department,director
nm6026697	Steven Leckart	producer,writer,director
nm1275836	Nihar Ranjan Gupta	writer,director
nm3765886	Cori Shepherd Stern	producer,writer
nm1907554	Kaushik Ganguly	actor,director,writer
nm8678191	Karthick Naren	director,writer,actor
nm0175262	Billy Connolly	actor,composer,music_department
nm8699228	Daniela Arbex	writer,director,producer
nm2447902	Andrei Dascalescu	editor,producer,director
nm8833077	Raj B. Shetty	actor,writer,director
nm4308921	Aditi Moghe	writer,casting_director
nm5967536	Nathan Russell-Raby	writer,director,location_management
nm0000005	Ingmar Bergman	writer,director,actor
nm6029435	Markus Mooslechner	producer,director,writer
nm8519166	Kyle Acosta	producer,actor,director
nm8949277	M.R.	director,writer,producer
nm2569785	Balasekaran	director,writer
nm0001779	Tom Stoppard	writer,producer,actor
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm0787323	Peter Shaffer	writer,music_department,miscellaneous
nm0016361	Edward Albee	writer,actor,soundtrack
nm1065785	Tony Kushner	writer,soundtrack,actor
nm1065785	Tony Kushner	writer,soundtrack,actor
nm8967151	Mohamed Oukassi	director,writer
nm3468427	Bramwell Noah	director,writer,actor
nm1639176	Gregory Segal	miscellaneous,producer,actor
nm1578836	Gabriel Clarke	director,writer,producer
nm5048629	Justin Robinson	camera_department,actor,stunts
nm1050198	Mladen Maticevic	writer,director,assistant_director
nm3325907	Samuel Morris	producer,writer,director
nm6442107	Ram Kumar	writer,director,actor
nm6474441	H. Vinoth	director,writer
nm3791998	Apo W. Bazidi	producer,editor,director
nm0063953	James Goldman	writer,soundtrack
nm3491681	Sean Hartofilis	producer,director,writer
nm2346665	Chinmay Mandlekar	actor,writer,producer
nm5113905	Varun Narvekar	director,writer,assistant_director
nm1282966	O-T Fagbenle	actor,writer,director
nm2043219	Mila Turajlic	director,writer,producer
nm1524141	P.F. Mathews	writer
nm9264321	Siyuan Lin	writer
nm9247789	Wei Xiao	costume_designer,set_decorator,actress
nm0022412	Jon Alpert	producer,director,cinematographer
nm9276091	Nick Alfieri	producer,director,writer
nm9284324	Daniel Martin	director,writer,producer
nm9284362	Venkatesh Maha	writer,director,producer
nm9294266	Sijie Zheng	writer
nm6353154	Hogir Hirori	director,editor,writer
nm9349874	Manoj Verma	miscellaneous,director,producer
nm0336979	Tim Gray	producer,director,writer
nm0300175	Revaz Gabriadze	writer,director,art_director
nm9377197	Vilok Shetty	director,writer,composer
nm4147929	Nipun Dharmadhikari	actor,writer,director
nm9411629	Vladimir Pajic	writer,director
nm0539574	Himanshu Malik	actor,writer,director
nm0099552	Tassos Boulmetis	director,writer,producer
nm5380892	Chris Chuang	producer,director,editor
nm8887397	J.S. Randhawa	director,actor,writer
nm3591496	Ram	director,writer,actor
nm0563710	Massimo Mazzucco	director,writer,producer
nm1414912	Sunil Ariyaratne	music_department,director,writer
nm1907554	Kaushik Ganguly	actor,director,writer
nm5099464	Magizh Thirumeni	director,writer,actor
nm5214927	Tung-Ting Sung	director,writer
nm1823590	Miguel Salazar	cinematographer,director,producer
nm6141714	Emmanuel Saez	producer,director,writer
nm6784148	John Marco Lopez	producer,director,writer
nm6143410	Davo Hardy	director,writer,producer
nm3778704	Oskars Rupenheits	director,writer,assistant_director
nm9603601	Ariyawansha Dammage	writer
nm1847868	Rajesh Jayaraman	writer,music_department
nm7662616	Tejas Modak	writer,soundtrack,actor
nm9649985	Gökçe Kaan Demirkiran	director,writer,producer
nm0004209	E.B. Hughes	director,writer,producer
nm9253483	Chinmay Purohit	writer,director,producer
nm6041683	Mari Selvaraj	director,writer,assistant_director
nm9717000	Prasad Prabhakar	director,writer,miscellaneous
nm9721867	Dipesh Shah	writer,assistant_director,actor
nm0949698	JoAnn Young	producer,writer,director
nm6457171	Bernie Olaf	director,writer,producer
nm9753836	Anatoly Pasichnik	director,writer,editor
nm7263546	Paige Suzanne	producer,director,casting_director
nm9764425	Evan Heneghan	director,writer,editor
nm2336554	Aditya Dhar	writer,music_department,soundtrack
nm1504063	Bing Wang	director,cinematographer,producer
nm9797585	Oksana Prysiazhniuk	writer
nm2760985	Sushrut Jain	producer,director,writer
nm4544331	Syam Pushkaran	writer,producer,miscellaneous
nm7608184	Sam Kaplan	writer
nm3960639	Ryan Guiterman	producer,director,editor
nm3951208	Ji-young Kim	director,writer,cinematographer
nm1035818	Michael P. Nash	producer,director,writer
nm9871612	Miki Dezaki	director,writer,cinematographer
nm0866147	Evelyne Tollman	actress,writer,producer
nm9909582	Shahi Kabir	writer,director
nm9913084	Manoj Nair	director,writer,music_department
nm1780037	Céline Sciamma	writer,director,costume_designer
nm8976305	Karan Shrikant Sharma	writer
nm6054966	Jagdeep Sidhu	writer,director,miscellaneous
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm9500109	Heather Augustyn	writer,miscellaneous
nm1802130	BC Fourteen	writer,director,editor
nm10052785	Dananjay Ranjan	writer
nm0358564	Oscar Hammerstein II	soundtrack,writer,music_department
nm10060846	Guru Channappa	producer,director,writer
nm1413729	Stephan Talneau	editor,cinematographer,director
nm0598531	Mark Monroe	producer,writer,director
nm6157331	Rui Constantino	director,writer,cinematographer
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm0609119	Moze Mossanen	director,writer,producer
nm1802130	BC Fourteen	writer,director,editor
nm10285722	Sudheer Shanbhogue	writer,director,production_designer
nm0007186	Arthur Miller	writer,actor,miscellaneous
nm6116204	Venshi Ravindra	director,writer,art_department
nm10316976	Milos Ninkovic	writer,miscellaneous
nm0918211	David A. Weiner	miscellaneous,assistant_director,producer
nm0123299	Stephen Burrows	miscellaneous,actor,director
nm10365311	Ratheesh Balakrishnan Poduval	director,writer,actor
nm1071389	Gregory Monro	director,writer,actor
nm0156828	Timothy A. Chey	producer,director,writer
nm6274646	Halitha Shameem	director,writer,editor
nm8421504	Sujit Bidari	writer,director,actor
nm7609904	Shashank Udapurkar	actor,director,writer
nm10419373	Munni Pankaj	director,actress,writer
nm1253499	Zlatko Topcic	writer,producer,director
nm5853383	Scott Diener	director,writer,producer
nm1142012	Rayya Makarim	writer,producer,director
nm9445831	Vivek Athreya	director,writer,music_department
nm0293193	James L. Freedman	producer,miscellaneous,writer
nm4414980	Aris Chatzistefanou	writer,director,cinematographer
nm5954636	Sergey A.	writer,producer,cinematographer
nm0598531	Mark Monroe	producer,writer,director
nm0570868	Heath McIvor	actor,writer,art_department
nm11020824	Kaidi Klein	writer
nm0151535	T.V. Chandran	director,writer,actor
